name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
HD 163607 c,11.38,69,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 164509 b,8.75,52,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 164595 b,4.35,28.93,metals-rich,non-habitable,Radial Velocity,2015,
HD 164604 b,11.5,38,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 164922 b,7.96,22.13,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 164922 c,4.02,22.13,metals-rich,non-habitable,Radial Velocity,2016,
HD 165155 b,11.54,64.98,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 166724 b,11.63,42.3,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 167042 b,11,50,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 168443 b,11.66,37.38,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 168443 c,10.33,37.38,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 168746 b,7.1,43.12,metals-rich,non-habitable,Radial Velocity,2002,
HD169142 b,10.3,117,hydrogen-rich,non-habitable,Imaging,2014,
HD 169830 b,11.54,36.32,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 169830 c,11.66,36.32,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 170469 b,9.48,64.97,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 171028 b,11.25,90,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 171238 b,11.48,50.28,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 173416 b,11.5,135,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 175167 b,11.65,67.02,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 175370 b,11.68,272,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 175541 b,9.28,128,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 175607 b,1.93,45.27,metals-rich,non-habitable,Radial Velocity,2015,
HD 176051 b,10.92,14.99,hydrogen-rich,non-habitable,Astrometry,2010,
HD 177830 b,10.91,59,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 177830 c,6.2,59,metals-rich,non-habitable,Radial Velocity,2010,
HD 178911 B b,11.68,46.73,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 179079 b,5.04,63.69,metals-rich,non-habitable,Radial Velocity,2009,
HD 179949 b,11.76,27,metals-rich,non-habitable,Radial Velocity,2000,
HD 180314 b,10.81,132,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 180777 b,10.61,27.3,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 180902 b,11,110,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 181342 b,11.54,110.6,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 181433 b,1.85,26.15,metals-rich,non-habitable,Radial Velocity,2008,
HD 181433 c,9.38,26.15,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 181433 d,9.01,26.15,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 181720 b,11.46,56,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 183263 b,11.64,53,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 183263 c,11.65,53,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 185269 b,10.16,47,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 187085 b,9.71,44.98,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 187123 b,8.93,50,metals-rich,non-habitable,Radial Velocity,1998,
HD 187123 c,11.25,50,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 188015 b,10.66,52.6,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 189567 b,3.7,17.7,metals-rich,non-habitable,Radial Velocity,2011,
HD 189733 b,12.75,19.3,hydrogen-rich,non-habitable,Primary Transit,2005,
HD 190228 b,,66.11,,non-habitable,Radial Velocity,2002,
HD 190360 b,10.91,15.89,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 190360 c,4.67,15.89,metals-rich,non-habitable,Radial Velocity,2005,
HD 190647 b,11.21,54.2,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 190984 b,11.58,103,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 192263 b,9.67,19.9,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 192699 b,11.45,67,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 195019 b,11.64,37.36,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 196050 b,11.53,46.9,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 196067 b,11.67,44.3,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 196885 A b,11.56,33,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 197037 b,9.82,33,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 200964 b,11.18,68.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 200964 c,10.06,68.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 202206 c,11.08,46.34,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 204313 b,11.67,47.37,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 204313 c,4.45,47.37,metals-rich,non-habitable,Radial Velocity,2011,
HD 204313 d,11.06,47.37,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 204941 b,7.42,27,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 205739 b,10.79,90.3,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 206610 b,11.35,194,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 206893 b,9.32,38.34,hydrogen-rich,non-habitable,Imaging,2016,
HD 207832 b,9.09,54.4,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 207832 c,9.66,54.4,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 208487 b,8.41,45,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 208527 b,11.57,320.2,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 209458 b,15.46,47,metals-rich,non-habitable,Primary Transit,1999,
HD 210277 b,10.62,21.29,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 210702 b,11.21,56,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 211847 b,10.99,50.6,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 212301 b,11.98,52.7,metals-rich,non-habitable,Radial Velocity,2005,
HD 212771 b,11.39,131,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 213240 b,11.68,40.75,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 214823 b,10.99,,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 215152 b,1.41,21.5,metals-rich,non-habitable,Radial Velocity,2011,
HD 215152 c,1.45,21.5,metals-rich,non-habitable,Radial Velocity,2011,
HD 215456 b,5.45,38,metals-rich,non-habitable,Radial Velocity,2011,
HD 215456 c,7.25,38,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 215497 b,1.77,44,metals-rich,non-habitable,Radial Velocity,2009,
HD 215497 c,7.9,44,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 216435 b,10.66,33.3,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 216437 b,11.16,26.5,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 216770 b,9.41,38,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 217107 b,10.74,19.72,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 217107 c,11.45,19.72,hydrogen-rich,non-habitable,Radial Velocity,1998,
HD 217786 b,11.4,54.8,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 218566 b,6.9,29.94,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 219077 b,11.55,29.35,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 219134 b,1.6,6.55,metals-rich,non-habitable,Primary Transit,2015,
HD 219134 c,1.5,6.55,metals-rich,non-habitable,Radial Velocity,2015,
HD 219134 d,4.75,6.55,metals-rich,non-habitable,Radial Velocity,2015,
HD 219134 e,1.53,6.55,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 219134 g,3.79,6.55,metals-rich,non-habitable,Radial Velocity,2015,
HD 219134 h,7.53,6.55,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 219828 b,4.73,81.1,metals-rich,non-habitable,Radial Velocity,2007,
HD 219828 c,11.27,81.1,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 220074 b,11.51,290.2,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 220689 b,10.37,44.6,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 220773 b,10.87,49,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 220842 b,11.59,62.5,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 221287 b,11.58,52.9,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 222076 b,10.97,83.5,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 222155 b,11.21,49.1,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 222582 b,11.66,42,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 224538 b,11.68,77.76,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 224693 b,9.6,94,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 231701 b,10.41,108.4,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 240210 b,11.67,143,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 240237 b,11.68,1500,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 283668 b,9.14,42.3,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 284149 b,10.18,108.2,hydrogen-rich,non-habitable,Imaging,2014,
HD 285507 b,10.11,41.3,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 290327 b,11.46,54.9,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 330075 b,11.87,50.2,metals-rich,non-habitable,Radial Velocity,2004,
HII 1348 b,8.92,127,hydrogen-rich,non-habitable,Imaging,2012,
HIP 5158 b,10.86,45,hydrogen-rich,non-habitable,Radial Velocity,2009,
HIP 5158 c,11.27,45,hydrogen-rich,non-habitable,Radial Velocity,2010,
HIP 8541 b,11.68,169,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 11915 b,10.25,57.3,hydrogen-rich,non-habitable,Radial Velocity,2015,
HIP 12961 b,8.04,23,hydrogen-rich,non-habitable,Radial Velocity,2009,
HIP 14810 b,11.65,52.9,hydrogen-rich,non-habitable,Radial Velocity,2006,
HIP 14810 c,10.69,52.9,hydrogen-rich,non-habitable,Radial Velocity,2006,
HIP 14810 d,9.13,52.9,hydrogen-rich,non-habitable,Radial Velocity,2009,
HIP 41378 b,2.91,116,metals-rich,non-habitable,Primary Transit,2016,
HIP 41378 c,2.55,116,metals-rich,non-habitable,Primary Transit,2016,
HIP 41378 d,3.95,116,metals-rich,non-habitable,Primary Transit,2016,
HIP 41378 e,5.51,116,metals-rich,non-habitable,Primary Transit,2016,
HIP 41378 f,10.19,116,hydrogen-rich,non-habitable,Primary Transit,2016,
HIP 57050 b,7.67,11,hydrogen-rich,non-habitable,Radial Velocity,2010,
HIP 57274 b,3.86,25.92,metals-rich,non-habitable,Radial Velocity,2011,
HIP 57274 c,8.4,25.92,hydrogen-rich,non-habitable,Radial Velocity,2011,
HIP 57274 d,8.96,25.92,hydrogen-rich,non-habitable,Radial Velocity,2011,
HIP 63242 b,11.61,135,hydrogen-rich,non-habitable,Radial Velocity,2013,
HIP 65407 b,8.49,16.74,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 65407 c,9.8,16.74,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 65891 b,11.68,136,hydrogen-rich,non-habitable,Radial Velocity,2015,
HIP 67537 b,11.51,112.6,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 67851 b,10.8,65.96,hydrogen-rich,non-habitable,Radial Velocity,2014,
HIP 67851 c,11.68,65.96,hydrogen-rich,non-habitable,Radial Velocity,2015,
HIP 68468 b,1.5,87.8,metals-rich,non-habitable,Radial Velocity,2016,
HIP 68468 c,5.32,87.8,metals-rich,non-habitable,Radial Velocity,2016,
HIP 70849 b,11.61,24,hydrogen-rich,non-habitable,Radial Velocity,2009,
HIP 73990 b,10.87,125,hydrogen-rich,non-habitable,Imaging,2015,
HIP 73990 c,10.81,125,hydrogen-rich,non-habitable,Imaging,2015,
HIP 74865 b,10.42,115,hydrogen-rich,non-habitable,Imaging,2015,
HIP 74890 b,11.42,91.6,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 75458 b,11.6,31.5,hydrogen-rich,non-habitable,Radial Velocity,2002,
HIP 78530 b,10.74,156.7,hydrogen-rich,non-habitable,Imaging,2011,
HIP 79431 b,11.31,14.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HIP 91258 b,10.39,44.9,hydrogen-rich,non-habitable,Radial Velocity,2013,
HIP 97233 b,10.94,106.5,hydrogen-rich,non-habitable,Radial Velocity,2014,
HIP 105854 b,11.64,80.84,hydrogen-rich,non-habitable,Radial Velocity,2014,
HIP 107773 b,11.25,106,hydrogen-rich,non-habitable,Radial Velocity,2015,
HIP 109384 b,10.97,56.2,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 109600 b,11.5,58.6,hydrogen-rich,non-habitable,Radial Velocity,2016,
HIP 116454 b,2.53,55.2,metals-rich,non-habitable,Primary Transit,2014,
HN Peg b,12.32,18.4,hydrogen-rich,non-habitable,Imaging,2007,
HR 810 b,11.37,17.17,hydrogen-rich,non-habitable,Radial Velocity,1999,
HR 2562 b,10.3,33.63,hydrogen-rich,non-habitable,Imaging,2016,
HR 3549 b,9.5,92.5,hydrogen-rich,non-habitable,Imaging,2015,
HR 7329 b,10.01,48,,non-habitable,Imaging,2000,
HR 8799 b,13.44,39.4,hydrogen-rich,non-habitable,Imaging,2008,
HR 8799 c,14.56,39.4,hydrogen-rich,non-habitable,Imaging,2008,
HR 8799 d,13.44,39.4,hydrogen-rich,non-habitable,Imaging,2008,
HR 8799 e,11.61,39.4,hydrogen-rich,non-habitable,Imaging,2010,
HW Vir(AB) b,11.32,181,hydrogen-rich,non-habitable,Pulsar,2008,
J1433 b,8.99,,hydrogen-rich,non-habitable,Primary Transit,2016,
K2-3 b,2.18,42,metals-rich,non-habitable,Transit,2016,
K2-3 c,1.85,42,metals-rich,non-habitable,Transit,2016,
K2-3 d,1.53,42,hydrogen-rich,non-habitable,Transit,2016,
K2-9 b,2.25,110,hydrogen-rich,thermoplanet,Transit,2016,
K2-10 b,3.84,271,metals-rich,non-habitable,Transit,2016,
K2-11 b,7.55,2019,metals-rich,non-habitable,Transit,2016,
K2-12 b,2.33,294,metals-rich,non-habitable,Transit,2016,
K2-13 b,1.89,290,metals-rich,non-habitable,Transit,2016,
K2-14 b,4.81,219,metals-rich,non-habitable,Transit,2016,
K2-15 b,2.48,437,metals-rich,non-habitable,Transit,2016,
K2-16 b,2.02,324,metals-rich,non-habitable,Transit,2016,
K2-16 c,2.54,324,metals-rich,non-habitable,Transit,2016,
K2-17 b,2.23,134,metals-rich,non-habitable,Transit,2016,
K2-18 b,2.24,34,hydrogen-rich,mesoplanet,Transit,2016,
K2-19 b,7.74,291,metals-rich,non-habitable,Transit,2016,
K2-19 c,4.86,291,metals-rich,non-habitable,Transit,2016,
K2-19 d,1.14,291,no-atmosphere,non-habitable,Transit,2016,
K2-21 b,1.59,65,metals-rich,non-habitable,Transit,2016,
K2-21 c,1.92,65,metals-rich,non-habitable,Transit,2016,
K2-22 b,2.5,225,hydrogen-rich,non-habitable,Transit,2016,
K2-24 b,5.83,181,metals-rich,non-habitable,Transit,2016,
K2-24 c,8.1,181,hydrogen-rich,non-habitable,Transit,2016,
K2-25 b,3.43,45.7,metals-rich,non-habitable,Transit,2016,
K2-26 b,2.67,93,metals-rich,non-habitable,Transit,2016,
K2-28 b,2.32,53,metals-rich,non-habitable,Transit,2016,
K2-29 b,13.34,185,metals-rich,non-habitable,Transit,2016,
K2-30 b,11.65,278,metals-rich,non-habitable,Transit,2016,
K2-33 b,5.04,145,hydrogen-rich,non-habitable,Transit,2016,
K2-34 b,15.13,377,hydrogen-rich,non-habitable,Transit,2016,
K2-65 b,1.58,78.06,metals-rich,non-habitable,Transit,2016,
K2-72 b,1.29,55.52,metals-rich,non-habitable,Transit,2016,
K2-72 c,1.46,55.52,metals-rich,non-habitable,Transit,2016,
K2-72 d,1.25,55.52,metals-rich,non-habitable,Transit,2016,
K2-72 e,1.4,55.52,metals-rich,mesoplanet,Transit,2016,
K2-99 b,14.45,604,metals-rich,non-habitable,Primary Transit,2016,
K2-105 b,3.58,220,metals-rich,non-habitable,Primary Transit,2017,
K2-108 b,5.28,262.4,metals-rich,non-habitable,Primary Transit,2016,
kappa And b,13.44,51.6,hydrogen-rich,non-habitable,Imaging,2013,
kappa CrB b,11,31.1,hydrogen-rich,non-habitable,Radial Velocity,2007,
Kapteyn b,1.64,3.91,metals-rich,psychroplanet,Radial Velocity,2014,
Kapteyn c,1.81,3.91,hydrogen-rich,non-habitable,Radial Velocity,2014,
KELT-1 b,12.5,263,hydrogen-rich,non-habitable,Primary Transit,2012,
KELT-2A b,14.63,128.9,hydrogen-rich,non-habitable,Primary Transit,2012,
KELT-3 b,14.93,178,metals-rich,non-habitable,Primary Transit,2012,
KELT-4A b,19.11,211,metals-rich,non-habitable,Radial Velocity,2013,
KELT-7 b,17.17,129,metals-rich,non-habitable,Primary Transit,2015,
KELT-8 b,20.83,236,metals-rich,non-habitable,Primary Transit,2015,
KELT-10 b,15.67,183,metals-rich,non-habitable,Primary Transit,2015,
KELT-11 b,15.34,98,metals-rich,non-habitable,Primary Transit,2016,
KELT-15 b,16.16,201,metals-rich,non-habitable,Primary Transit,2015,
KELT-16 b,15.85,365,hydrogen-rich,non-habitable,Primary Transit,2016,
KELT-17 b,17.08,210,metals-rich,non-habitable,Primary Transit,2015,
KELT-18 b,17.58,311,metals-rich,non-habitable,Primary Transit,2017,
Kepler-4 b,4,550,metals-rich,non-habitable,Primary Transit,2010,
Kepler-8 b,15.89,1330,metals-rich,non-habitable,Primary Transit,2010,
Kepler-10 b,1.47,173,no-atmosphere,non-habitable,Primary Transit,2011,
Kepler-10 c,2.32,173,metals-rich,non-habitable,Primary Transit,2011,
Kepler-14 b,12.72,980,hydrogen-rich,non-habitable,Primary Transit,2011,
Kepler-17 b,14.69,800,hydrogen-rich,non-habitable,Primary Transit,2011,
Kepler-20 b,1.87,290,metals-rich,non-habitable,Primary Transit,2011,
Kepler-20 c,3.04,290,metals-rich,non-habitable,Primary Transit,2011,
Kepler-20 d,2.74,290,metals-rich,non-habitable,Primary Transit,2011,
Kepler-20 e,0.86,290,no-atmosphere,non-habitable,Primary Transit,2011,
Kepler-20 f,1,290,no-atmosphere,non-habitable,Primary Transit,2011,
Kepler-20 g,4.65,290,metals-rich,non-habitable,Other,2016,
Kepler-21 b,1.64,108,metals-rich,non-habitable,Primary Transit,2011,
Kepler-22 b,2.35,190,hydrogen-rich,mesoplanet,Primary Transit,2011,
Kepler-34(AB)  b,8.55,1499,hydrogen-rich,non-habitable,Primary Transit,2012,
Kepler-35(AB) b,8.15,1645,metals-rich,non-habitable,Primary Transit,2012,
Kepler-37 b,0.32,66,no-atmosphere,non-habitable,Primary Transit,2013,
Kepler-37 c,0.75,66,no-atmosphere,non-habitable,Primary Transit,2013,
Kepler-37 d,1.94,66,metals-rich,non-habitable,Primary Transit,2013,
Kepler-39 b,13.66,1200,hydrogen-rich,non-habitable,Primary Transit,2011,
Kepler-40 b,13.1,2700,hydrogen-rich,non-habitable,Primary Transit,2010,
Kepler-41  b,9.42,730,metals-rich,non-habitable,Primary Transit,2011,
Kepler-42 b,0.78,38.7,no-atmosphere,non-habitable,Primary Transit,2012,
Kepler-42 c,0.73,38.7,no-atmosphere,non-habitable,Primary Transit,2012,
Kepler-42 d,0.57,38.7,no-atmosphere,non-habitable,Primary Transit,2012,
Kepler-43 b,13.44,1950,hydrogen-rich,non-habitable,Primary Transit,2011,
Kepler-44 b,13.89,2250,hydrogen-rich,non-habitable,Primary Transit,2011,
Kepler-45 b,10.75,333,metals-rich,non-habitable,Primary Transit,2011,
Kepler-46 b,9.09,857,hydrogen-rich,non-habitable,Primary Transit,2012,
Kepler-46 c,8.11,857,hydrogen-rich,non-habitable,TTV,2012,
Kepler-61 b,2.15,326,hydrogen-rich,mesoplanet,Primary Transit,2012,
Kepler-62 b,1.31,368,metals-rich,non-habitable,Primary Transit,2013,
Kepler-62 c,0.54,368,no-atmosphere,non-habitable,Primary Transit,2013,
Kepler-62 d,1.95,368,metals-rich,non-habitable,Primary Transit,2013,
Kepler-62 e,1.61,368,metals-rich,mesoplanet,Primary Transit,2013,
Kepler-62 f,1.41,368,metals-rich,psychroplanet,Primary Transit,2013,
Kepler-63 b,6.1,200,metals-rich,non-habitable,Primary Transit,2013,
Kepler-65 b,1.41,312.43,no-atmosphere,non-habitable,Primary Transit,2013,
Kepler-65 c,2.57,312.43,metals-rich,non-habitable,Primary Transit,2013,
Kepler-65 d,1.51,312.43,metals-rich,non-habitable,Primary Transit,2013,
Kepler-66 b,2.8,1107,metals-rich,non-habitable,Primary Transit,2013,
Kepler-67 b,2.91,1107,metals-rich,non-habitable,Primary Transit,2013,
Kepler-68 b,2.31,135,metals-rich,non-habitable,Primary Transit,2013,
Kepler-68 c,0.93,135,no-atmosphere,non-habitable,Primary Transit,2013,
Kepler-68 d,9.94,135,hydrogen-rich,non-habitable,Radial Velocity,2013,
Kepler-70  b,0.76,1180,no-atmosphere,non-habitable,Imaging,2011,
Kepler-70 c,0.87,1180,no-atmosphere,non-habitable,Imaging,2011,
Kepler-74 b,14.78,1330,metals-rich,non-habitable,Primary Transit,2012,
Kepler-75 b,11.54,1140,hydrogen-rich,non-habitable,Primary Transit,2013,
Kepler-77 b,10.75,570,metals-rich,non-habitable,Primary Transit,2013,
Kepler-88 b,3.78,385,metals-rich,non-habitable,Primary Transit,2013,
Kepler-88 c,9.34,385,hydrogen-rich,non-habitable,Radial Velocity,2013,
Kepler-91 b,15.5,1030,metals-rich,non-habitable,Primary Transit,2013,
Kepler-92 b,3.65,448.57,metals-rich,non-habitable,Primary Transit,2013,
Kepler-92 c,2.45,448.57,metals-rich,non-habitable,Primary Transit,2013,
Kepler-92 d,2.07,448.57,metals-rich,non-habitable,Primary Transit,2015,
Kepler-100 b,1.3,310.34,metals-rich,non-habitable,Primary Transit,2014,
Kepler-100 c,2.22,310.34,no-atmosphere,non-habitable,Primary Transit,2014,
Kepler-100 d,1.51,310.34,metals-rich,non-habitable,Primary Transit,2014,
Kepler-103 b,3.47,473.56,metals-rich,non-habitable,Primary Transit,2014,
Kepler-103 c,5.31,473.56,metals-rich,non-habitable,Primary Transit,2014,
Kepler-109 b,2.34,464.73,no-atmosphere,non-habitable,Primary Transit,2014,
Kepler-109 c,2.63,464.73,no-atmosphere,non-habitable,Primary Transit,2014,
Kepler-145 b,2.55,584.1,metals-rich,non-habitable,Primary Transit,2013,
Kepler-145 c,3.92,584.1,hydrogen-rich,non-habitable,Primary Transit,2013,
Kepler-150 b,1.25,973,no-atmosphere,non-habitable,Primary Transit,2014,
Kepler-150 c,3.68,973,metals-rich,non-habitable,Primary Transit,2014,
Kepler-150 d,2.79,973,metals-rich,non-habitable,Primary Transit,2014,
Kepler-150 e,3.11,973,metals-rich,non-habitable,Primary Transit,2014,
Kepler-150 f,3.64,973,metals-rich,psychroplanet,Primary Transit,2017,
Kepler-174 b,1.96,360,metals-rich,non-habitable,Primary Transit,2014,
Kepler-174 c,1.49,360,metals-rich,non-habitable,Primary Transit,2014,
Kepler-174 d,2.18,360,hydrogen-rich,psychroplanet,Primary Transit,2014,
Kepler-186 b,1.14,172,metals-rich,non-habitable,Primary Transit,2014,
Kepler-186 c,1.34,172,metals-rich,non-habitable,Primary Transit,2014,
Kepler-186 d,1.56,172,metals-rich,non-habitable,Primary Transit,2014,
Kepler-186 e,1.33,172,metals-rich,non-habitable,Primary Transit,2014,
Kepler-186 f,1.17,172,metals-rich,hypopsychroplanet,transit,2015,
Kepler-283 b,2.13,534,metals-rich,non-habitable,Primary Transit,2014,
Kepler-283 c,1.81,534,metals-rich,mesoplanet,Primary Transit,2014,
Kepler-289 b,2.15,700,metals-rich,non-habitable,Primary Transit,2014,
Kepler-289 c,2.68,700,metals-rich,non-habitable,Primary Transit,2014,
Kepler-289 d,11.58,700,hydrogen-rich,non-habitable,Primary Transit,2014,
Kepler-296 b,0.94,226,no-atmosphere,non-habitable,Primary Transit,2014,
Kepler-296 c,2.15,226,metals-rich,non-habitable,Primary Transit,2014,
Kepler-296 d,2.27,226,metals-rich,non-habitable,Primary Transit,2014,
Kepler-296 e,1.48,226,metals-rich,mesoplanet,transit,2015,
Kepler-296 f,1.75,226,metals-rich,psychroplanet,transit,2015,
Kepler-298 b,1.96,474,metals-rich,non-habitable,Primary Transit,2014,
Kepler-298 c,1.93,474,metals-rich,non-habitable,Primary Transit,2014,
Kepler-298 d,2.5,474,hydrogen-rich,mesoplanet,Primary Transit,2014,
Kepler-409 b,1.19,66.8,hydrogen-rich,non-habitable,Primary Transit,2013,
Kepler-410A b,2.84,132,metals-rich,non-habitable,Primary Transit,2013,
Kepler-412 b,14.84,1056,metals-rich,non-habitable,Primary Transit,2014,
Kepler-420 A b,10.53,900,hydrogen-rich,non-habitable,Primary Transit,2014,
Kepler-421 b,4.16,320,metals-rich,non-habitable,Primary Transit,2014,
Kepler-432 b,16.24,874,hydrogen-rich,non-habitable,Primary Transit,2014,
Kepler-433 b,16.24,1870,hydrogen-rich,non-habitable,Primary Transit,2012,
Kepler-434 b,12.66,1240,hydrogen-rich,non-habitable,Primary Transit,2015,
Kepler-435 b,22.29,2070,metals-rich,non-habitable,Primary Transit,2012,
Kepler-436 b,2.73,618,metals-rich,non-habitable,transit,2015,
Kepler-436 c,2.33,618,metals-rich,non-habitable,Transit,2016,
Kepler-437 b,2.14,417,hydrogen-rich,non-habitable,transit,2015,
Kepler-438 b,1.12,145,metals-rich,mesoplanet,transit,2015,
Kepler-439 b,2.24,693,hydrogen-rich,non-habitable,transit,2015,
Kepler-440 b,1.86,261,metals-rich,mesoplanet,transit,2015,
Kepler-441 b,1.64,284,metals-rich,non-habitable,transit,2015,
Kepler-442 b,1.34,342,metals-rich,psychroplanet,transit,2015,
Kepler-443 b,2.33,779,hydrogen-rich,mesoplanet,transit,2015,
Kepler-445 b,1.58,90,metals-rich,non-habitable,Primary Transit,2015,
Kepler-445 c,2.51,90,metals-rich,non-habitable,Primary Transit,2015,
Kepler-445 d,1.25,90,metals-rich,non-habitable,Primary Transit,2015,
Kepler-446 b,1.5,120,metals-rich,non-habitable,Primary Transit,2015,
Kepler-446 c,1.1,120,metals-rich,non-habitable,Primary Transit,2015,
Kepler-446 d,1.34,120,metals-rich,non-habitable,Primary Transit,2015,
Kepler-448 b,16.02,426,hydrogen-rich,non-habitable,Primary Transit,2015,
Kepler-452 b,1.63,430,metals-rich,mesoplanet,transit,2015,
Kepler-461 b,2.58,468,metals-rich,non-habitable,Transit,2016,
Kepler-462 b,3.76,733,metals-rich,non-habitable,Transit,2016,
Kepler-463 b,3.05,336,metals-rich,non-habitable,Transit,2016,
Kepler-464 b,3.29,653,metals-rich,non-habitable,Transit,2016,
Kepler-465 b,2.95,587,metals-rich,non-habitable,Transit,2016,
Kepler-466 b,2.84,436,metals-rich,non-habitable,Transit,2016,
Kepler-466 c,1.25,436,no-atmosphere,non-habitable,Transit,2016,
Kepler-467 b,2.25,458,metals-rich,non-habitable,Transit,2016,
Kepler-468 b,13.33,474,,non-habitable,Transit,2016,
